%AAE,TPR Gap Before,TPR Gap After (Mean+Covariance Matching),TPR Gap After (Mean Matching),Accuracy Before,Accuracy After (Mean+Covariance Matching),Accuracy After (Mean Matching)
0.5,0.064,0.048,0.047,0.845,0.838,0.845
0.55,0.065,0.037,0.038,0.857,0.845,0.851
0.6,0.078,0.032,0.041,0.865,0.847,0.853
0.65,0.096,0.028,0.014,0.866,0.804,0.812
0.7,0.113,0.03,0.024,0.863,0.798,0.799
0.75,0.108,0.051,0.031,0.878,0.751,0.756
0.8,0.134,0.041,0.021,0.881,0.734,0.736
0.85,0.146,0.026,0.009,0.888,0.709,0.71
0.9,0.165,0.038,0.043,0.898,0.687,0.695
0.95,0.193,0.086,0.069,0.907,0.647,0.647
